,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len
0,frozenset({'902405'}),frozenset({'902450'}),0.0611,0.0455,0.0118,0.1936,4.2576,0.009,1.1837,1
1,frozenset({'902450'}),frozenset({'902405'}),0.0455,0.0611,0.0118,0.2601,4.2576,0.009,1.2689,1
2,frozenset({'902459'}),frozenset({'902450'}),0.0203,0.0455,0.0091,0.4486,9.8643,0.0082,1.7311,1
3,frozenset({'902450'}),frozenset({'902459'}),0.0455,0.0203,0.0091,0.2005,9.8643,0.0082,1.2254,1
4,frozenset({'902405'}),frozenset({'902459'}),0.0611,0.0203,0.0045,0.0743,3.655,0.0033,1.0583,1
5,frozenset({'902459'}),frozenset({'902405'}),0.0203,0.0611,0.0045,0.2232,3.655,0.0033,1.2088,1
6,frozenset({'902449'}),frozenset({'902459'}),0.0405,0.0203,0.0064,0.1568,7.7155,0.0055,1.1619,1
7,frozenset({'902459'}),frozenset({'902449'}),0.0203,0.0405,0.0064,0.3125,7.7155,0.0055,1.3957,1
8,frozenset({'902442'}),frozenset({'902459'}),0.0281,0.0203,0.0046,0.1634,8.0399,0.004,1.171,1
9,frozenset({'902459'}),frozenset({'902442'}),0.0203,0.0281,0.0046,0.2261,8.0399,0.004,1.2558,1
10,frozenset({'902453'}),frozenset({'902459'}),0.025,0.0203,0.0036,0.1431,7.0403,0.0031,1.1433,1
11,frozenset({'902459'}),frozenset({'902453'}),0.0203,0.025,0.0036,0.1758,7.0403,0.0031,1.183,1
12,"frozenset({'902405', '902459'})",frozenset({'902450'}),0.0045,0.0455,0.0026,0.5746,12.6345,0.0024,2.2438,2
13,"frozenset({'902450', '902459'})",frozenset({'902405'}),0.0091,0.0611,0.0026,0.2859,4.6814,0.0021,1.3149,2
14,"frozenset({'902405', '902450'})",frozenset({'902459'}),0.0118,0.0203,0.0026,0.2205,10.8461,0.0024,1.2567,2
15,frozenset({'902459'}),"frozenset({'902405', '902450'})",0.0203,0.0118,0.0026,0.1283,10.8461,0.0024,1.1336,1
16,frozenset({'902405'}),"frozenset({'902450', '902459'})",0.0611,0.0091,0.0026,0.0427,4.6814,0.0021,1.0351,1
17,frozenset({'902450'}),"frozenset({'902405', '902459'})",0.0455,0.0045,0.0026,0.0573,12.6345,0.0024,1.056,1
18,"frozenset({'902449', '902405'})",frozenset({'902459'}),0.0094,0.0203,0.0019,0.2043,10.051,0.0017,1.2312,2
19,"frozenset({'902449', '902459'})",frozenset({'902405'}),0.0064,0.0611,0.0019,0.3016,4.9376,0.0015,1.3444,2
20,"frozenset({'902405', '902459'})",frozenset({'902449'}),0.0045,0.0405,0.0019,0.4222,10.423,0.0017,1.6607,2
21,frozenset({'902449'}),"frozenset({'902405', '902459'})",0.0405,0.0045,0.0019,0.0473,10.423,0.0017,1.0449,1
22,frozenset({'902405'}),"frozenset({'902449', '902459'})",0.0611,0.0064,0.0019,0.0314,4.9376,0.0015,1.0258,1
23,frozenset({'902459'}),"frozenset({'902449', '902405'})",0.0203,0.0094,0.0019,0.0943,10.051,0.0017,1.0937,1
24,"frozenset({'902405', '902442'})",frozenset({'902459'}),0.0059,0.0203,0.0014,0.2445,12.0286,0.0013,1.2967,2
25,"frozenset({'902405', '902459'})",frozenset({'902442'}),0.0045,0.0281,0.0014,0.3175,11.2895,0.0013,1.4239,2
26,"frozenset({'902442', '902459'})",frozenset({'902405'}),0.0046,0.0611,0.0014,0.3135,5.1323,0.0012,1.3677,2
27,frozenset({'902405'}),"frozenset({'902442', '902459'})",0.0611,0.0046,0.0014,0.0236,5.1323,0.0012,1.0194,1
28,frozenset({'902442'}),"frozenset({'902405', '902459'})",0.0281,0.0045,0.0014,0.0512,11.2895,0.0013,1.0492,1
29,frozenset({'902459'}),"frozenset({'902405', '902442'})",0.0203,0.0059,0.0014,0.0709,12.0286,0.0013,1.0699,1
30,"frozenset({'902449', '902405', '902459'})",frozenset({'902450'}),0.0019,0.0455,0.0015,0.7669,16.8632,0.0014,4.0952,3
31,"frozenset({'902449', '902405', '902450'})",frozenset({'902459'}),0.0056,0.0203,0.0015,0.2636,12.9667,0.0014,1.3303,3
32,"frozenset({'902449', '902450', '902459'})",frozenset({'902405'}),0.0046,0.0611,0.0015,0.3188,5.2186,0.0012,1.3782,3
33,"frozenset({'902405', '902450', '902459'})",frozenset({'902449'}),0.0026,0.0405,0.0015,0.5635,13.9114,0.0014,2.1983,3
34,"frozenset({'902449', '902405'})","frozenset({'902450', '902459'})",0.0094,0.0091,0.0015,0.1567,17.1823,0.0014,1.175,2
35,"frozenset({'902449', '902459'})","frozenset({'902405', '902450'})",0.0064,0.0118,0.0015,0.2313,19.5562,0.0014,1.2855,2
36,"frozenset({'902449', '902450'})","frozenset({'902405', '902459'})",0.0192,0.0045,0.0015,0.0766,16.888,0.0014,1.0781,2
37,"frozenset({'902405', '902459'})","frozenset({'902449', '902450'})",0.0045,0.0192,0.0015,0.3238,16.888,0.0014,1.4505,2
